date,time_utc,timestamp,event_class,subtype,source,p_eq_pre,p_eq_post,r_eq,p_bond_pre,p_bond_post,r_bond,delta_rate_1,delta_rate_2,delta_rate_3,rate_source_rics,m_e,z_e,D_eq_A,D_eq_B,D_eq_floor,D_eq_ceil,D_bond,R_A,R_B,R_floor,R_ceil,corr3m_US_z_lag,corr6m_US_z_lag,corr3m_EU_z_lag,corr6m_EU_z_lag,rho_tilde,rho_tilde_6m,beta_EB
2010-01-14,12:45,2010-01-14 12:45:00+00:00,ECB,decision,ECB,1667.4525214824034,1669.126950792678,0.0010036802448452,122.0,121.985,-0.0001229583787438,0.0,0.0,0.0,FEIc1|FEIc2|FEIc3,0.0,0.1682172588607189,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-8.162764140998478
2010-01-14,13:30,2010-01-14 13:30:00+00:00,ECB,press,ECB,1669.685093896103,1660.7548042413025,-0.0053628417451792,121.99,122.255,0.0021699531534622,,-1.0000000000005116,-1.5000000000000568,FEIc1|FEIc2|FEIc3,,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-2.4714089963751924
2010-01-15,13:30,2010-01-15 13:30:00+00:00,CPI,,BLS,1140.625,1140.125,-0.0004384522705338,116.9921875,117.1171875,0.0010678770286645,0.0,0.0,0.0,FFc1|FFc2|FFc3,0.0393438320877903,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-0.41058310907027723
2010-01-27,19:00,2010-01-27 19:00:00+00:00,FOMC,decision,gemaf,1083.375,1083.375,0.0,118.0546875,117.796875,-0.002186227642113,,0.0,-0.5000000000009663,FFc1|FFc2|FFc3,,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-0.0
2010-02-04,12:45,2010-02-04 12:45:00+00:00,ECB,decision,ECB,1550.8006128665627,1549.684326659712,-0.0007200720383143,123.4,123.425,0.000202572673639,0.2500000000011937,0.0,,FEIc1|FEIc2|FEIc3,0.2500000000011937,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-3.5546356049855143
2010-02-04,13:30,2010-02-04 13:30:00+00:00,ECB,press,ECB,1547.1726826942995,1541.8703232117623,-0.0034330144837849,123.45,123.555,0.0008501852701333,0.2500000000011937,0.0,,FEIc1|FEIc2|FEIc3,0.2500000000011937,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-4.037960435666734
2010-02-05,13:30,2010-02-05 13:30:00+00:00,NFP,,algorithmic,1055.625,1061.6875,0.0057266148174653,118.453125,118.234375,-0.0018484293617823,0.0,0.0,-0.2499999999997726,FFc1|FFc2|FFc3,-0.0543054090710129,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-3.098097734145253
2010-02-19,13:30,2010-02-19 13:30:00+00:00,CPI,,BLS,1098.75,1102.875,0.003747236542882,117.171875,117.125,-0.0004001333831312,0.0,-0.2499999999997726,-0.4999999999995452,FFc1|FFc2|FFc3,-0.1457210223270638,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-9.364968535137985
2010-03-04,12:45,2010-03-04 12:45:00+00:00,ECB,decision,ECB,1573.4054085552784,1573.9635516587032,0.0003546728180464,124.115,124.105,-8.057368467816874e-05,0.4999999999995452,0.0,,FEIc1|FEIc2|FEIc3,0.4999999999995452,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-4.401844342393563
2010-03-04,13:30,2010-03-04 13:30:00+00:00,ECB,press,ECB,1574.2426232104156,1578.7077680378177,0.0028323616031805,124.13,124.01,-0.0009671960131755,0.0,0.2499999999997726,,FEIc1|FEIc2|FEIc3,0.0,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,,,,,,,-2.9284256392675614
