timestamp,date,leg,regime,delta_r_real,delta_pi,r_b_daily,r_e_daily,c_b_rate,c_b_pi,c_b_res,c_e_rate,c_e_res
2010-04-02 12:30:00+00:00,2010-04-02,NFP,negativo,0.0007000000000000006,-9.999999999999786e-05,-0.00580847236197353,0.004466192026161878,-0.006279605870471631,0.0008970865529244988,-0.00042595304442639807,-0.003500000000000003,0.007966192026161882
2010-04-14 12:30:00+00:00,2010-04-14,CPI,negativo,0.00010000000000000009,0.0,-0.001880330954928242,0.009369212821690025,-0.0008970865529245187,-0.0,-0.0009832444020037234,-0.0005000000000000004,0.009869212821690026
2010-04-28 18:00:00+00:00,2010-04-28,FOMC,negativo,0.0007000000000000001,0.0006000000000000005,-0.004656121222794913,0.006951787002335038,-0.006279605870471626,-0.0053825193175471115,0.007006003965223825,-0.0035000000000000005,0.010451787002335039
2010-05-07 12:30:00+00:00,2010-05-07,NFP,negativo,0.0007999999999999996,-0.00010000000000000231,-0.0007827278463676522,-0.010998988550276017,-0.0071766924233961395,0.0008970865529245386,0.005496878024103949,-0.003999999999999998,-0.006998988550276019
2010-05-19 12:30:00+00:00,2010-05-19,CPI,negativo,0.0008999999999999997,-0.0008999999999999986,-0.004022844771190707,0.006295692520144471,-0.008073778976320658,0.008073778976320648,-0.004022844771190697,-0.004499999999999998,0.010795692520144468
2010-06-04 12:30:00+00:00,2010-06-04,NFP,negativo,-0.0008000000000000001,-0.0010999999999999988,0.007508611884194932,-0.03321721608992098,0.007176692423396145,0.009867952082169685,-0.009536032621370899,0.004000000000000001,-0.037217216089920985
2010-06-17 12:30:00+00:00,2010-06-17,CPI,negativo,-0.0006,0.0,0.0029629651306570487,0.003930601949734966,0.005382519317547107,-0.0,-0.0024195541868900585,0.0029999999999999996,0.0009306019497349661
2010-06-23 18:00:00+00:00,2010-06-23,FOMC,negativo,-0.00010000000000000009,-0.00040000000000000034,0.0032253930684101166,-0.0052788738606344586,0.0008970865529245187,0.003588346211698075,-0.0012600396962124771,0.0005000000000000004,-0.005778873860634459
2010-07-02 12:30:00+00:00,2010-07-02,NFP,negativo,0.00020000000000000017,-0.00020000000000000017,-0.0015953546665651295,-0.010056498782865088,-0.0017941731058490375,0.0017941731058490375,-0.0015953546665651295,-0.0010000000000000009,-0.009056498782865087
2010-07-16 12:30:00+00:00,2010-07-16,CPI,negativo,0.00010000000000000009,-0.0008000000000000007,0.0057805465075307354,-0.028513753705869022,-0.0008970865529245187,0.00717669242339615,-0.0004990593629408957,-0.0005000000000000004,-0.028013753705869022
2010-08-06 12:30:00+00:00,2010-08-06,NFP,negativo,-0.00020000000000000004,-0.0005000000000000004,0.005344748158880943,-0.0035662580982039585,0.0017941731058490362,0.004485432764622594,-0.0009348577115906869,0.0010000000000000002,-0.004566258098203959
2010-08-10 18:00:00+00:00,2010-08-10,FOMC,negativo,-0.0008,0.00020000000000000017,0.005883106215975867,-0.006913497652556606,0.007176692423396144,-0.0017941731058490375,0.000500586898428761,0.004,-0.010913497652556607
2010-08-13 12:30:00+00:00,2010-08-13,CPI,negativo,0.0,-0.00010000000000000009,0.002927530198232466,-0.004982917778808695,-0.0,0.0008970865529245187,0.002030443645307947,-0.0,-0.004982917778808695
2010-09-03 12:30:00+00:00,2010-09-03,NFP,negativo,9.999999999999982e-05,0.00040000000000000034,-0.004740823550882476,0.014034117039978903,-0.0008970865529245162,-0.003588346211698075,-0.00025539078625988476,-0.000499999999999999,0.014534117039978901
2010-09-17 12:30:00+00:00,2010-09-17,CPI,negativo,0.0001999999999999999,-0.00020000000000000017,0.00529777798023853,0.0026519352558584735,-0.0017941731058490349,0.0017941731058490375,0.0052977779802385275,-0.0009999999999999996,0.003651935255858473
2010-10-01 12:30:00+00:00,2010-10-01,NFP,negativo,-0.0004000000000000001,0.00010000000000000009,0.0006195019402686921,0.0039482393908500755,0.0035883462116980723,-0.0008970865529245187,-0.0020717577185048615,0.0020000000000000005,0.001948239390850075
2010-10-15 12:30:00+00:00,2010-10-15,CPI,negativo,0.0010999999999999998,-0.00020000000000000017,-0.0031505817566762156,0.0026631174194836284,-0.009867952082169696,0.0017941731058490375,0.004923197219644442,-0.0055,0.008163117419483628
2010-11-03 18:00:00+00:00,2010-11-03,FOMC,negativo,-0.0006,0.000299999999999998,0.005298188835264244,0.0008358583706795373,0.005382519317547107,-0.002691259658773536,0.0026069291764906724,0.0029999999999999996,-0.0021641416293204626
2010-11-05 12:30:00+00:00,2010-11-05,NFP,negativo,0.00010000000000000009,0.00010000000000000231,-0.0022654226740607083,0.0036881508869337923,-0.0008970865529245187,-0.0008970865529245386,-0.000471249568211651,-0.0005000000000000004,0.004188150886933793
2010-11-17 13:30:00+00:00,2010-11-17,CPI,positivo,-0.0004,0.0006999999999999984,-0.00012512512528833734,0.001272669595894252,0.003588346211698072,-0.00627960587047161,0.002566134533485201,0.002,-0.000727330404105748
2010-12-03 13:30:00+00:00,2010-12-03,NFP,negativo,-0.0002,0.0,0.002273302317738555,0.0015333506709895503,0.001794173105849036,-0.0,0.0004791292118895192,0.001,0.0005333506709895503
2010-12-14 19:00:00+00:00,2010-12-14,FOMC,negativo,0.0014000000000000002,0.00040000000000000034,-0.013107532293801,0.0004031039054886027,-0.012559211740943252,-0.003588346211698075,0.003040025658840326,-0.007000000000000001,0.007403103905488604
2010-12-15 13:30:00+00:00,2010-12-15,CPI,negativo,-0.0004999999999999999,0.0008999999999999986,-0.0014959838882199906,-0.004139538446890503,0.0044854327646225885,-0.008073778976320648,0.0020923623234780685,0.0024999999999999996,-0.006639538446890502
2011-01-07 13:30:00+00:00,2011-01-07,NFP,negativo,-0.0008,-0.0005000000000000026,0.0057794245092041875,-0.0013795824024887067,0.007176692423396144,0.004485432764622613,-0.005882700678814569,0.004,-0.005379582402488706
2011-01-14 13:30:00+00:00,2011-01-14,CPI,negativo,0.0004,-0.00020000000000000017,-0.0015496871442538872,0.005247825454661557,-0.003588346211698072,0.0017941731058490375,0.0002444859615951473,-0.002,0.007247825454661557
2011-01-26 19:00:00+00:00,2011-01-26,FOMC,negativo,0.0005,0.0004999999999999983,-0.003110623984441663,0.005040235541711899,-0.004485432764622589,-0.004485432764622574,0.0058602415448035,-0.0025,0.007540235541711899
2011-02-04 13:30:00+00:00,2011-02-04,NFP,negativo,0.0010000000000000002,0.000299999999999998,-0.005709613542090256,0.0028724646330554066,-0.00897086552924518,-0.002691259658773536,0.005952511645928461,-0.005000000000000001,0.007872464633055408
2011-02-17 13:30:00+00:00,2011-02-17,CPI,negativo,-0.0009999999999999998,0.00020000000000000017,0.004209701671716802,0.0033711053556558226,0.008970865529245177,-0.0017941731058490375,-0.0029669907516793378,0.004999999999999999,-0.0016288946443441766
2011-03-04 13:30:00+00:00,2011-03-04,NFP,negativo,-0.001,0.0,0.007112359106453505,-0.008861294786243111,0.008970865529245179,-0.0,-0.0018585064227916734,0.005,-0.013861294786243112
2011-03-15 18:00:00+00:00,2011-03-15,FOMC,negativo,-0.00010000000000000009,-0.00030000000000000247,0.0008351804153835455,-0.00787520476659425,0.0008970865529245187,0.0026912596587735757,-0.002753165796314549,0.0005000000000000004,-0.00837520476659425
2011-03-17 12:30:00+00:00,2011-03-17,CPI,negativo,-0.0005000000000000001,0.0006000000000000005,-0.005999124508107723,0.012456908485295216,0.00448543276462259,-0.0053825193175471115,-0.005102037955183201,0.0025000000000000005,0.009956908485295216
2011-04-01 12:30:00+00:00,2011-04-01,NFP,negativo,-0.0004,0.00040000000000000034,0.0018400478346680335,0.0032069448348799865,0.003588346211698072,-0.003588346211698075,0.0018400478346680365,0.002,0.0012069448348799865
2011-04-15 12:30:00+00:00,2011-04-15,CPI,negativo,-0.0006999999999999999,-0.00010000000000000231,0.005624606064482148,0.004275337850401946,0.006279605870471624,0.0008970865529245386,-0.001552086358914015,0.0034999999999999996,0.000775337850401946
2011-04-27 18:00:00+00:00,2011-04-27,FOMC,negativo,-0.0003999999999999998,0.0,-0.0007771517779914033,0.005938590339592118,0.0035883462116980697,-0.0,-0.004365497989689473,0.001999999999999999,0.003938590339592119
2011-04-27 18:30:00+00:00,2011-04-27,FOMC,negativo,-0.0003999999999999998,0.0,-0.0007771517779914033,0.005938590339592118,0.0035883462116980697,-0.0,-0.004365497989689473,0.001999999999999999,0.003938590339592119
2011-05-06 12:30:00+00:00,2011-05-06,NFP,negativo,0.00020000000000000017,0.0,0.0013424107874591776,0.0005621135617375162,-0.0017941731058490375,-0.0,0.003136583893308215,-0.0010000000000000009,0.0015621135617375171
2011-05-13 12:30:00+00:00,2011-05-13,CPI,negativo,0.00020000000000000017,-0.00040000000000000034,0.003511575835136507,-0.010163731485829379,-0.0017941731058490375,0.003588346211698075,0.0017174027292874696,-0.0010000000000000009,-0.009163731485829378
2011-06-03 12:30:00+00:00,2011-06-03,NFP,negativo,-0.0006,-0.00019999999999999573,0.0021937393234784,-0.01179586921195209,0.005382519317547107,0.0017941731058489976,-0.004982953099917704,0.0029999999999999996,-0.01479586921195209
2011-06-15 12:30:00+00:00,2011-06-15,CPI,negativo,-0.0009999999999999998,-0.0003999999999999959,0.008026127861322136,-0.01683673288280142,0.008970865529245177,0.003588346211698035,-0.004533083879621076,0.004999999999999999,-0.02183673288280142
2011-06-22 18:00:00+00:00,2011-06-22,FOMC,negativo,0.00020000000000000017,-0.00020000000000000017,-0.01123078592360966,-0.01013752711444519,-0.0017941731058490375,0.0017941731058490375,-0.01123078592360966,-0.0010000000000000009,-0.009137527114445189
2011-06-22 18:30:00+00:00,2011-06-22,FOMC,negativo,0.00020000000000000017,-0.00020000000000000017,-0.01123078592360966,-0.01013752711444519,-0.0017941731058490375,0.0017941731058490375,-0.01123078592360966,-0.0010000000000000009,-0.009137527114445189
2011-07-01 12:30:00+00:00,2011-07-01,NFP,negativo,0.00020000000000000017,0.00020000000000000017,-0.0024302902726602233,0.01604413426634116,-0.0017941731058490375,-0.0017941731058490375,0.0011580559390378517,-0.0010000000000000009,0.01704413426634116
2011-07-15 12:30:00+00:00,2011-07-15,CPI,negativo,-0.0005000000000000004,0.00030000000000000247,0.003196993790206114,0.0075428819934928795,0.004485432764622594,-0.0026912596587735757,0.001402820684357096,0.0025000000000000022,0.005042881993492877
2011-08-05 12:30:00+00:00,2011-08-05,NFP,negativo,0.0008000000000000007,0.000299999999999998,-0.005928206819102104,0.0013584828882664218,-0.00717669242339615,-0.002691259658773536,0.003939745263067581,-0.0040000000000000036,0.005358482888266425
